scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
0.6712,9903709579,-1,53432000000000.0,0.863909973,230.518997,871.3678,951.55505,157.94632,53465000000000.0,54824000000000.0,50300000000000.0,35053000000000.0,0.7309,0.5747,6578.0,6578.0,16720.0,15240.0,13600.0,3.7476736591908,0.4599728636122636,0.2459194088640363,0.4898688915375446,27.0,27.0,10.0,2.0
0.6712,9894340324,-1,59408000000000.0,0.894989014,149.813995,818.13013,960.47156,128.48251,59745000000000.0,60427000000000.0,55033000000000.0,42064000000000.0,0.7685,0.5622,18710.0,18710.0,20540.0,16630.0,16110.0,5.9740013875205,0.4774112349346897,0.2566295848042118,0.4898688915375446,51.0,51.0,27.0,14.0
0.6712,9894413830,-1,93832000000000.0,1.042285034,130.895004,855.1673,968.18225,215.21291,93843000000000.0,97105000000000.0,84925000000000.0,65643000000000.0,0.5993,0.353,7962.0,7962.0,2397.0,6035.0,7186.0,7.9627564242253,0.560369640972131,0.3082714921942244,0.4898688915375446,39.0,41.0,17.0,6.0
0.6712,9894414116,-1,56746000000000.0,0.8814180300000001,139.643997,841.89441,991.08319,249.72209,56748000000000.0,59522000000000.0,50830000000000.0,37376000000000.0,0.6471,0.4215,-5033.0,-5033.0,96.68,8151.0,8873.0,6.3118934500277,0.4697920512317682,0.2519434181217266,0.4898688915375446,35.0,35.0,16.0,3.0
0.6712,9903745673,-1,83261000000000.0,1.001575012,156.005005,882.42407,997.36487,263.66788,83327000000000.0,87025000000000.0,75788000000000.0,56051000000000.0,0.614,0.4309,495.8,495.8,-1148.0,2703.0,4609.0,6.420146661320199,0.537395280241987,0.2938639308907843,0.4898688915375446,31.0,31.0,14.0,3.0
0.6712,9894414276,-1,57019000000000.0,0.8828270260000001,238.580994,859.48108,939.36548,265.15833,57094000000000.0,57693000000000.0,54177000000000.0,35099000000000.0,0.6721,0.5622,8834.0,8834.0,12760.0,16970.0,15500.0,3.7003242010132,0.4705839808653784,0.252429923904405,0.4898688915375446,45.0,45.0,22.0,5.0
0.6712,9894450052,-1,80329000000000.0,0.989674988,258.562012,801.13055,941.90216,299.07242,80621000000000.0,83132000000000.0,71489000000000.0,45640000000000.0,0.6414,0.4922,7735.0,7735.0,9582.0,14120.0,14360.0,3.8276117220189,0.5306872714840963,0.2896716433772512,0.4898688915375446,69.0,69.0,25.0,10.0
0.6712,9903202652,-1,64176000000000.0,0.918317017,246.815994,876.58435,924.82306,246.52176,64185000000000.0,67533000000000.0,56119000000000.0,35945000000000.0,0.6601,0.5032,-9016.0,-9016.0,3571.0,10440.0,12760.0,3.7206544118854,0.4905186024048184,0.2647151791577022,0.4898688915375446,34.0,34.0,9.0,2.0
0.6712,9894414870,-1,56080000000000.0,0.877952026,156.190002,841.10388,984.55841,207.12399,56197000000000.0,58043000000000.0,51624000000000.0,37298000000000.0,0.6661,0.4406,10900.0,10900.0,11580.0,8627.0,7911.0,5.6210513781797005,0.4678493226316231,0.2507500250364489,0.4898688915375446,32.0,32.0,15.0,3.0
0.6712,9903202340,-1,71016000000000.0,0.949849976,223.979004,868.58337,910.57733,263.41019,71043000000000.0,71751000000000.0,67798000000000.0,48772000000000.0,0.7102,0.5622,4520.0,4520.0,18710.0,18670.0,17790.0,4.2407991777657,0.5082537184641486,0.2757020238422903,0.4898688915375446,47.0,47.0,28.0,9.0
0.6712,9894450230,-1,59462000000000.0,0.895260986,251.901993,862.47583,952.36926,277.51389,59518000000000.0,60934000000000.0,54610000000000.0,35496000000000.0,0.7186,0.5145,7189.0,7189.0,10240.0,12870.0,13270.0,3.5540051721623,0.4775634881165869,0.2567233717271815,0.4898688915375446,52.0,52.0,21.0,6.0
0.6712,9894414562,-1,60704000000000.0,0.901450989,178.171997,827.40179,997.0766,246.08115,60811000000000.0,63405000000000.0,52986000000000.0,35696000000000.0,0.702,0.4505,4446.0,4446.0,9832.0,7311.0,7511.0,5.0594425845718,0.4810400831997843,0.2588651890227788,0.4898688915375446,52.0,52.0,15.0,6.0
0.6712,9894450484,-1,59351000000000.0,0.8947009890000001,181.113998,815.19574,954.93451,286.55313,59351000000000.0,61087000000000.0,53767000000000.0,38188000000000.0,0.6606,0.4032,5954.0,5954.0,8807.0,8340.0,6836.0,4.9399880676257,0.4772504036003681,0.2565304863901267,0.4898688915375446,41.0,41.0,17.0,4.0
0.6712,9903784331,-1,59248000000000.0,0.894187012,93.698997,879.81274,961.68622,294.66437,59297000000000.0,60353000000000.0,56453000000000.0,45674000000000.0,0.6361,0.4309,5074.0,5074.0,4508.0,-936.5,1191.0,9.5431865935555,0.4769597179615013,0.2563516782451339,0.4898688915375446,34.0,34.0,20.0,7.0
0.6712,9894415292,-1,54795000000000.0,0.871198975,134.796005,814.83075,969.93542,229.43939,54880000000000.0,55873000000000.0,51182000000000.0,39981000000000.0,0.7254,0.6008,11330.0,11330.0,23700.0,13080.0,12240.0,6.4630919514268,0.4640582880693628,0.2484237593863201,0.4898688915375446,29.0,29.0,16.0,4.0
0.6712,9903781434,-1,98594000000000.0,1.0596259769999998,483.493988,894.62122,977.59448,257.86282,101540000000000.0,104680000000000.0,81176000000000.0,45254000000000.0,1.2431,0.5747,109300.0,109300.0,36140.0,20830.0,19700.0,2.1916011435492,0.5701659606249135,0.3144374278659024,0.4898688915375446,78.0,87.0,16.0,2.0
0.6712,9903781483,-1,64563000000000.0,0.920158997,205.908997,895.01324,979.29474,257.20901,72972000000000.0,67244000000000.0,58289000000000.0,43381000000000.0,0.8545,0.4814,15850.0,15850.0,9686.0,12400.0,11030.0,4.4687653789115,0.491554159356734,0.265355241839584,0.4898688915375446,47.0,47.0,17.0,6.0
0.6712,9903780422,-1,67700000000000.0,0.934828003,165.212997,895.94153,982.83911,253.6068,74370000000000.0,70688000000000.0,60953000000000.0,42672000000000.0,0.6788,0.4406,888.4,888.4,131.2,-1103.0,1268.0,5.6583199867744005,0.4998023029108199,0.2704598855112185,0.4898688915375446,56.0,56.0,17.0,5.0
