scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
1.0,12572920123,-1,128430000000000.0,1.0266030270000002,245.197998,29.77819,482.93936,267.82297,128610000000000.0,185570000000000.0,97067000000000.0,63238000000000.0,0.72,0.6142,27590.0,27590.0,9880.0,5426.0,7832.0,4.186832826424601,0.6822568743596695,0.3644563518741131,0.0,88.0,90.0,43.0,13.0
1.0,12572300347,-1,127640000000000.0,1.0244799800000002,334.018005,53.85185,423.88977,209.79192,128030000000000.0,137130000000000.0,99124000000000.0,53501000000000.0,0.6664,0.7016,3555.0,3555.0,16590.0,14830.0,17320.0,3.0671399884566,0.6807194496293778,0.3635147693621343,0.0,76.0,80.0,42.0,13.0
1.0,12572367324,-1,118130000000000.0,0.998398987,223.410995,24.45664,433.55038,291.34726,118140000000000.0,137160000000000.0,93034000000000.0,59048000000000.0,0.6036,0.7016,5349.0,5349.0,6034.0,11120.0,12590.0,4.468889219172,0.6617243705674984,0.3519163052920872,0.0,69.0,69.0,35.0,6.0
1.0,12572921375,-1,117060000000000.0,0.995356995,270.17099,58.32037,462.99924,267.0174,117180000000000.0,121820000000000.0,94385000000000.0,50904000000000.0,0.6402,0.8013,5695.0,5695.0,14320.0,21150.0,16030.0,3.6841742150036,0.6595250994785121,0.350575368540431,0.0,77.0,77.0,47.0,10.0
1.0,12572880077,-1,114030000000000.0,0.986710022,128.751007,21.8618,462.91397,223.00626,114280000000000.0,133270000000000.0,93430000000000.0,70396000000000.0,0.6429,0.5498,16010.0,16010.0,9389.0,7588.0,9010.0,7.6637072205578,0.6532307518532809,0.3467446992621922,0.0,61.0,60.0,30.0,13.0
1.0,12572921149,-1,105610000000000.0,0.961778992,152.537003,27.40692,452.09436,235.57277,105640000000000.0,118040000000000.0,91259000000000.0,65966000000000.0,0.6556,0.5876,3209.0,3209.0,4458.0,1924.0,3583.0,6.3052175739941,0.6351508527364689,0.3357677220424855,0.0,78.0,73.0,45.0,12.0
1.0,12572335092,-1,101470000000000.0,0.949057983,199.298004,43.1544,406.28226,241.60048,102500000000000.0,129260000000000.0,71250000000000.0,48117000000000.0,0.6457,0.6421,-22620.0,-22620.0,-8901.0,6523.0,11240.0,4.7620044553983,0.6259221859046993,0.3301833933918079,0.0,69.0,64.0,20.0,7.0
1.0,12572921801,-1,96938000000000.0,0.934710022,189.755997,26.38601,492.8295,271.59167,97131000000000.0,105550000000000.0,79386000000000.0,55211000000000.0,0.5716,0.5498,2017.0,2017.0,4860.0,6436.0,5564.0,4.925852340782599,0.6155371667768655,0.3239128379943475,0.0,56.0,50.0,25.0,9.0
1.0,12582204134,-1,96935000000000.0,0.934700012,106.249001,79.89507,481.37994,210.45245,96935000000000.0,109040000000000.0,81759000000000.0,62599000000000.0,0.5956,0.4709,5547.0,5547.0,2977.0,3957.0,3999.0,8.7972592984662,0.6155301665265815,0.3239085979256107,0.0,33.0,27.0,10.0,6.0
1.0,12572920652,-1,94979000000000.0,0.928372009,148.356995,7.68065,483.30014,236.45476,94981000000000.0,111920000000000.0,76987000000000.0,58569000000000.0,0.6485,0.6862,2690.0,2690.0,2713.0,5235.0,13120.0,6.2576894941825,0.6109518836827144,0.3211493018352581,0.0,50.0,43.0,24.0,8.0
1.0,12572920771,-1,92923000000000.0,0.921622986,127.126999,29.25422,486.84573,243.11375,92923000000000.0,110200000000000.0,74832000000000.0,53138000000000.0,0.5797,0.4605,2275.0,2275.0,3220.0,5063.0,3670.0,7.2496243382572,0.606073695701975,0.318212478916502,0.0,47.0,41.0,19.0,5.0
1.0,12581624198,-1,88732000000000.0,0.907554016,144.964996,99.94724,425.86157,247.22734,88732000000000.0,100250000000000.0,71107000000000.0,52013000000000.0,0.5901,0.4922,2810.0,2810.0,4206.0,5889.0,7515.0,6.2605045427656,0.595911566226817,0.3121060770330207,0.0,69.0,61.0,25.0,7.0
1.0,12572922008,-1,88718000000000.0,0.907507996,338.390991,45.03933,439.56299,241.25172,89819000000000.0,96637000000000.0,69932000000000.0,33212000000000.0,0.6625,0.7837,2121.0,2121.0,7854.0,12370.0,10380.0,2.6818326141549,0.5958772214572597,0.3120855515512579,0.0,81.0,73.0,34.0,6.0
1.0,12572300653,-1,87886000000000.0,0.904659973,190.417999,22.70054,433.29736,213.50182,87890000000000.0,98005000000000.0,67846000000000.0,45238000000000.0,0.6055,0.5876,475.1,475.1,3201.0,7619.0,7181.0,4.7509162881183,0.5938230884944292,0.3108530121289693,0.0,61.0,53.0,28.0,8.0
1.0,12572300478,-1,86561000000000.0,0.900091003,151.181,16.82478,426.37772,217.22623,86593000000000.0,95991000000000.0,71880000000000.0,49706000000000.0,0.6266,0.628,506.5,506.5,4105.0,3483.0,4723.0,5.953730978099,0.5905261779861293,0.3088763096949933,0.0,54.0,50.0,32.0,9.0
1.0,12572921498,-1,86522000000000.0,0.899955994,428.498993,61.16887,443.85187,258.2562,86617000000000.0,98073000000000.0,66023000000000.0,27012000000000.0,0.7014,0.7016,217.1,217.1,1742.0,8977.0,9389.0,2.1002522962755004,0.5904286602975679,0.3088178759632349,0.0,70.0,61.0,30.0,5.0
1.0,12572921881,-1,85680000000000.0,0.897028992,133.216003,22.79151,454.87857,265.80957,85683000000000.0,90751000000000.0,73298000000000.0,51786000000000.0,0.6354,0.5876,3200.0,3200.0,2669.0,1208.0,4490.0,6.7336428942399,0.5883162283867122,0.307552330061014,0.0,49.0,48.0,30.0,8.0
1.0,12572336379,-1,83704000000000.0,0.890077026,113.428001,8.42172,402.24838,260.25656,83708000000000.0,96188000000000.0,67478000000000.0,50650000000000.0,0.5914,0.7016,-2445.0,-2445.0,-4359.0,1868.0,11130.0,7.8470661402205,0.5833055989391948,0.3045529114413722,0.0,46.0,38.0,11.0,2.0
1.0,12582244591,-1,79693000000000.0,0.875627991,256.269989,85.98815,452.23676,288.52319,80472000000000.0,91666000000000.0,59018000000000.0,34242000000000.0,0.7835,0.7837,34270.0,34270.0,17150.0,11690.0,9105.0,3.4168183110976,0.5728973215024915,0.2983352508462977,0.0,37.0,31.0,9.0,5.0
1.0,12572300763,-1,79553000000000.0,0.87511499,117.192001,7.9675,421.74219,229.97765,79891000000000.0,90660000000000.0,65941000000000.0,47970000000000.0,0.5691,0.4505,1605.0,1605.0,-732.7,2123.0,5262.0,7.4673611042787,0.5725280385888766,0.2981149640549655,0.0,35.0,32.0,13.0,2.0
